Date,Station,Location,Latitude,Longitude,Weather,Cause,Accident_type,Ship_num,Total_people,Rescued_people,Injured_people,Dead_people,Missed_people,Vessel_type,Tons,Seasons,Month,Hour
2011/03/10 5:20,포항,항계 내,36.55,129.5833333,양호,기타,화재,3,0,0,0,0,0,어선,7.93,봄,3,5
2011/03/10 7:00,부산,영해,35.98333333,128.7833333,양호,기타,기관이상,1,3,3,0,0,0,어선,69,봄,3,7
2011/03/10 7:24,서귀포,영해,33.45,127.1666667,황천5급,운항부주의,충돌,1,6,6,0,0,0,어선,9.16,봄,3,7
2011/03/10 16:00,서귀포,영해-EEZ,32.43333333,125.55,황천5급,정비불량,기관이상,1,10,10,0,0,0,어선,39,봄,3,16
2011/03/11 3:30,포항,영해,35.86666667,129.5166667,양호,운항부주의,충돌,1,2,2,0,0,0,어선,4.99,봄,3,3
2011/03/11 8:45,서귀포,공해,28.93333333,125.5833333,양호,운항부주의,충돌,1,10,10,0,0,0,어선,29,봄,3,8
2011/03/12 4:28,부산,항계 내,35.08833333,129.0944444,양호,기타,좌초,1,22,22,0,0,0,화물선,19061,봄,3,4
2011/03/12 7:25,동해,영해,37.23333333,129.6,양호,기타,침수,1,2,2,0,0,0,어선,5.03,봄,3,7
2011/03/12 10:20,통영,항계 내,35.13472222,128.6730556,양호,기타,화재,1,2,2,0,0,0,어선,2.04,봄,3,10
2011/03/12 11:40,울산,영해,35.39194444,129.3641667,양호,운항부주의,충돌,2,3,3,0,0,0,어선,3.75,봄,3,11
2011/03/12 12:15,인천,영해,37.36666667,126.5333333,양호,정비불량,기관이상,1,1,1,0,0,0,어선,2.6,봄,3,12
